id,sentence,split
000020a912.mp3,বাংলাদেশে দায়িত্ব নেবে,train
000039928e.mp3,এ ধরণের কার্ড নিয়ে,train
00005debc7.mp3,হতে উপার্জিত অর্থ,train
00009e687c.mp3,হাসির বিষয় হয়েই আছে,train
00012843bc.mp3,সার্ক দেশগুলোতে,train
00012880b1.mp3,সহজেই যাওয়া যায়,train
00014d427a.mp3,অন্তর্ভুক্তও করেছে রাশিয়া,train
0001e9f600.mp3,সুরকার হিসেবে,train
0001ee459b.mp3,যাতে বিবাহ শাদী দিলে,train
0001fd54d9.mp3,আপনার গল্প ছাড়া,train
0002656955.mp3,বিবাহ ব্যাপারটাকে নিয়ন্ত্রিত করাই,train
0002a04050.mp3,বীরভূম জেলা হাসপাতালে,train
0002c06046.mp3,মান্নান সৈয়দের মৃত্যুর পর বেরিয়েছে,train
0002f5e8b7.mp3,পুলিশের সন্দেহ,train
00030c9001.mp3,বাঙালি মধ্যবিত্তের ধর্ম,train
000339782d.mp3,কোন অতিবৃষ্টি অরণ্যেই,train
00033caf16.mp3,তখন তার প্রতিক্রিয়াটা,train
0004bc46f7.mp3,রয়েছেন মুখ্যমন্ত্রী,train
000549887f.mp3,তাদের হুমকি দেয়া হয়েছিল,train
000571e8eb.mp3,বিশেষ ছাড়ের ব্যবস্থা করা,train
0005c0cb27.mp3,অসাধারণ অভিনয় করেন ছবি বিশ্বাস,train
0005c694a1.mp3,দুপুরের রোদে,train
000633820e.mp3,অতঃপর ১৯৬০ সালের ২৬শে জুলাই,train
00067a3bf3.mp3,আরেকটি বড় ধরনের,train
0007ec5c58.mp3,তখন থেকেই ডাকটিকিট সংগ্রহ,train
00081f7414.mp3,শক্তি চট্টোপাধ্যায়,train
00090d52b7.mp3,মনোনয়ন বাতিলের ক্ষমতাও,train
00090e7ccd.mp3,শিরোনাম আমার ছবি,train
00092bb274.mp3,ঘানিটা ঘুরছে,train
000970168f.mp3,বিকশিত করতে চাই,train
00098b3964.mp3,পুরুষের তৈরি করা,train
