id,sentence
Audiobook_0.mp3,ছুড়ন কে আমি শিশুসুলভ বোকামির মিশ্রণ হিসেবে বর্ণনা করব।
Audiobook_1.mp3,তিনি প্রায় সময় ডিনারে এক হাজার ডলার খরচ করতেন।
Audiobook_2.mp3,তিনি তার বন্ধুদের সামনে সম্পদের শো-অফ করতেন।
Audiobook_3.mp3,তিনি প্রকাশ্যে এবং উচ্চস্বরে তার সম্পদ নিয়ে বড়াই করতেন।
Audiobook_4.mp3,প্রায় সময় মাতাল অবস্থায় হোটেল থেকে বের হতেন।
Audiobook_5.mp3,"একদিন তিনি আমার এক সহকর্মীর হাতে নগদ কয়েকহাজার ডলার দিয়ে বললেন, রাস্তার পাশের গয়নার দোকানে যাও এবং আমার জন্যে কয়েক ডলার মূল্যের এক হাজারটি সোনার কয়েন কিনে আনো।"
Audiobook_6.mp3,এক ঘন্টা পর হাতে সোনার কয়েন নিয়ে প্রকৌশলী এবং তার বন্ধুরা প্রশান্ত মহা
Bangladeshi TV Drama_0.mp3,প্রমাণ পাওয়া গেলে তোমার চাকরিটা আর থাকবে না।
Bangladeshi TV Drama_1.mp3,"ইউ আর অ্যাবসলিউটলি রাইট স্যার, ওদেরকে আসলেই চাকরী থেকে বের করে দেয়া উচিত।"
Bangladeshi TV Drama_2.mp3,আফটার অল স্যার এটা আমাদের হোটেল এর সুনাম এর ব্যাপার স্যার। ওদের বের করে দেয়াটা এখন সময় এর দাবী।
Bangladeshi TV Drama_3.mp3,স্যার আমি আমার সেক্টরে যে পরিমাণ ডেডিকেশন নিয়ে কাজ করি ওরা তো তার ধারেকাছেও নাই।
Bangladeshi TV Drama_4.mp3,"তারপরে স্যার দেখেন, মাসের পর মাস একই স্যালারী পেয়ে যাচ্ছে"
Bangladeshi TV Drama_5.mp3,"এটা নিয়ে অবশ্য আমার কোনো কষ্ট ও নাই। দিনশেষে আমার প্রাপ্তিটা ঐদিনের মতই স্যার। মনে আছে আপনার ম্যাডাম যেদিন সুনাম করল আমার সম্পর্কে , আমার জন্য গর্বে আপনার বুকটা ফুলে উঠেছিল, ঐটা আমার প্রাপ্তি স্যার।"
Bangladeshi TV Drama_6.mp3,"তোমার সমস্যা টা আরো অনেক গুরুতর।তুমি শুধু ফিমেল গেস্ট দের কে সার্ভিস দাও,মেল গেস্ট দের কে তুমি কোনো সার্ভিস দাও না।"
Bangladeshi TV Drama_7.mp3,"এটা তো হবে না, তোমাকে দুইজন কেই সার্ভিস দিতে হবে।"
Bengali Advertisement_0.mp3,"ছোটভাই, আপনি নাকি ময়নাকে প্রেমপত্র দিয়েছেন, হ্যাঁ?"
